error_actual,y_test_pred,y_test
2580.0,5206.0,2626
2492.0,4374.0,1882
3709.0,4836.0,1127
1312.0,3168.0,1856
733.0,3757.0,3024
-8515.0,3673.0,12188
1160.0,4391.0,3231
3439.0,4828.0,1389
-1613.0,2911.0,4524
-36441.0,3239.0,39680
-5618.0,2866.0,8484
463.0,8147.0,7684
12838.0,24055.0,11217
501.0,3086.0,2585
-47516.0,2325.0,49841
3813.0,4866.0,1053
2241.0,3856.0,1615
4112.0,5919.0,1807
-42055.0,35468.0,77523
2980.0,5876.0,2896
-353.0,2325.0,2678
1548.0,2742.0,1194
2104.0,8586.0,6482
-101465.0,10233.0,111698
-5044.0,2173.0,7217
899.0,3199.0,2300
1329.0,2761.0,1432
-22385.0,6951.0,29336
-6.0,2612.0,2618
2090.0,3865.0,1775
-6341.0,2784.0,9125
-735.0,2687.0,3422
-4787.0,2942.0,7729
-3534.0,2625.0,6159
2905.0,5380.0,2475
1960.0,4884.0,2924
1565.0,2630.0,1065
85680.0,99852.0,14172
3146.0,4374.0,1228
3560.0,7277.0,3717
-4.0,2661.0,2665
-1668.0,3023.0,4691
3114.0,4182.0,1068
908.0,2720.0,1812
4313.0,5619.0,1306
2030.0,3043.0,1013
1792.0,2910.0,1118
-40266.0,2601.0,42867
-897.0,3142.0,4039
-24509.0,67254.0,91763
-13402.0,3691.0,17093
931.0,2904.0,1973
-974.0,2100.0,3074
1859.0,2972.0,1113
1256.0,10990.0,9734
2944.0,9860.0,6916
-2097.0,2613.0,4710
-165.0,2819.0,2984
44207.0,51900.0,7693
3121.0,4440.0,1319
-48678.0,114122.0,162800
3363.0,4388.0,1025
1295.0,2695.0,1400
-3622.0,8968.0,12590
1993.0,3012.0,1019
847.0,2520.0,1673
2126.0,3186.0,1060
5415.0,7253.0,1838
-200.0,885.0,1085
193.0,3745.0,3552
7281.0,12051.0,4770
1084.0,2918.0,1834
-219.0,1243.0,1462
-715.0,2381.0,3096
-909.0,4297.0,5206
485.0,51962.0,51477
1849.0,5610.0,3761
2022.0,3216.0,1194
6135.0,10850.0,4715
7630.0,9472.0,1842
1958.0,3947.0,1989
2710.0,4020.0,1310
1367.0,4333.0,2966
968.0,3523.0,2555
3267.0,5707.0,2440
885.0,5089.0,4204
3027.0,4610.0,1583
-510.0,2097.0,2607
3741.0,5150.0,1409
2597.0,4502.0,1905
1583.0,3871.0,2288
2022.0,5166.0,3144
2366.0,6414.0,4048
1518.0,3501.0,1983
4735.0,6608.0,1873
1260.0,2926.0,1666
-12555.0,7424.0,19979
3492.0,4638.0,1146
3308.0,6393.0,3085
-3822.0,3628.0,7450
1401.0,3189.0,1788
-4023.0,4908.0,8931
3437.0,5108.0,1671
4178.0,7212.0,3034
1756.0,2871.0,1115
2483.0,4073.0,1590
2457.0,4012.0,1555
628.0,3313.0,2685
1464.0,2673.0,1209
15369.0,16835.0,1466
1401.0,3035.0,1634
-3681.0,2486.0,6167
851.0,1978.0,1127
-11146.0,4631.0,15777
-1453.0,3154.0,4607
319.0,2722.0,2403
628.0,3197.0,2569
2937.0,5886.0,2949
1664.0,2789.0,1125
1008.0,2523.0,1515
1187.0,3114.0,1927
1528.0,2543.0,1015
1097.0,2386.0,1289
-2391.0,2902.0,5293
892.0,2120.0,1228
16298.0,17311.0,1013
-3269.0,2244.0,5513
-11414.0,18257.0,29671
1308.0,2655.0,1347
755.0,2552.0,1797
-1459.0,2666.0,4125
-827.0,1344.0,2171
447.0,1753.0,1306
1851.0,5846.0,3995
-1627.0,2683.0,4310
1836.0,2956.0,1120
1339.0,2529.0,1190
1738.0,3647.0,1909
-2782.0,3076.0,5858
2080.0,3463.0,1383
1038.0,2879.0,1841
1406.0,2479.0,1073
-3755.0,3261.0,7016
5062.0,7024.0,1962
3224.0,4350.0,1126
-2146.0,2989.0,5135
-5610.0,5749.0,11359
2813.0,4795.0,1982
2662.0,4258.0,1596
1186.0,2649.0,1463
1511.0,2977.0,1466
1289.0,2520.0,1231
1664.0,2954.0,1290
3027.0,4329.0,1302
-71685.0,22951.0,94636
177.0,1663.0,1486
925.0,2386.0,1461
-71392.0,23858.0,95250
-37827.0,6963.0,44790
704.0,2745.0,2041
-3989.0,6816.0,10805
1445.0,3405.0,1960
-4338.0,6392.0,10730
-9884.0,3643.0,13527
3149.0,5389.0,2240
-5638.0,1982.0,7620
-86.0,2546.0,2632
933.0,2395.0,1462
532.0,2487.0,1955
627.0,3620.0,2993
1239.0,2725.0,1486
1120.0,4118.0,2998
-2701.0,2647.0,5348
52950.0,61109.0,8159
799.0,2649.0,1850
-8814.0,4780.0,13594
-1606.0,3306.0,4912
1464.0,3540.0,2076
6656.0,9783.0,3127
386.0,2416.0,2030
294.0,3005.0,2711
-102788.0,806032.0,908820
-1577.0,1788.0,3365
560.0,2029.0,1469
3207.0,4501.0,1294
-10916.0,1080.0,11996
2352.0,5824.0,3472
208.0,2794.0,2586
-1114.0,2643.0,3757
-45072.0,6136.0,51208
2945.0,4622.0,1677
1126.0,3358.0,2232
1022.0,3271.0,2249
2056.0,3436.0,1380
-2308.0,1370.0,3678
-923.0,2879.0,3802
1412.0,2701.0,1289
917.0,1961.0,1044
-3577.0,7692.0,11269
2468.0,3472.0,1004
2023.0,3306.0,1283
-3122.0,2797.0,5919
1196.0,2638.0,1442
6342.0,9379.0,3037
3545.0,4878.0,1333
934.0,2874.0,1940
4687.0,6237.0,1550
-559.0,2664.0,3223
-21921.0,6167.0,28088
1310.0,2773.0,1463
3363.0,4446.0,1083
2010.0,3031.0,1021
1121.0,2699.0,1578
1575.0,3340.0,1765
2362.0,3417.0,1055
-4384.0,3313.0,7697
1563.0,3097.0,1534
1070.0,3476.0,2406
-12151.0,3260.0,15411
-10423.0,5603.0,16026
1466.0,2873.0,1407
-29293.0,6503.0,35796
1038.0,5361.0,4323
-7281.0,8416.0,15697
-5217.0,3148.0,8365
3744.0,5382.0,1638
3429.0,4507.0,1078
1561.0,3031.0,1470
2542.0,3806.0,1264
-876.0,1961.0,2837
831.0,2352.0,1521
2059.0,3222.0,1163
2054.0,3359.0,1305
543.0,3882.0,3339
1407.0,2653.0,1246
-3727.0,2798.0,6525
1238.0,3138.0,1900
2117.0,4339.0,2222
99.0,1918.0,1819
844.0,2231.0,1387
514.0,2748.0,2234
1299.0,3120.0,1821
1721.0,2774.0,1053
37806.0,41071.0,3265
538.0,3017.0,2479
-16896.0,4392.0,21288
472.0,4615.0,4143
-3232.0,3165.0,6397
833.0,2824.0,1991
1451.0,2653.0,1202
68.0,3247.0,3179
2021.0,4236.0,2215
594.0,2463.0,1869
1575.0,3336.0,1761
3530.0,4749.0,1219
2241.0,3345.0,1104
-2515.0,14218.0,16733
18347.0,30769.0,12422
1094.0,2763.0,1669
-9244.0,3917.0,13161
-16477.0,5662.0,22139
8790.0,10906.0,2116
2145.0,4020.0,1875
-9900.0,4684.0,14584
313.0,4600.0,4287
758.0,4173.0,3415
4215.0,5273.0,1058
9176.0,13842.0,4666
1628.0,2676.0,1048
1612.0,2648.0,1036
1744.0,2770.0,1026
1404.0,2503.0,1099
1290.0,2635.0,1345
2295.0,3852.0,1557
8609.0,23903.0,15294
792.0,2338.0,1546
1744.0,2809.0,1065
2346.0,3505.0,1159
3004.0,4436.0,1432
2009.0,5175.0,3166
13997.0,16128.0,2131
1738.0,4669.0,2931
495.0,2458.0,1963
1122.0,2944.0,1822
396.0,2356.0,1960
-1104.0,3696.0,4800
1743.0,3301.0,1558
383.0,2458.0,2075
391.0,2647.0,2256
-41194.0,4717.0,45911
435.0,2689.0,2254
1931.0,3025.0,1094
-278.0,3884.0,4162
700.0,3514.0,2814
1627.0,2728.0,1101
2994.0,4798.0,1804
1755.0,2786.0,1031
-7550.0,8078.0,15628
-5968.0,2612.0,8580
25242.0,31069.0,5827
3368.0,4713.0,1345
663.0,3064.0,2401
110.0,3025.0,2915
-1304.0,2676.0,3980
1031.0,2655.0,1624
-25235.0,7956.0,33191
-64282.0,317478.0,381760
704.0,2834.0,2130
-8032.0,5447.0,13479
-103.0,2574.0,2677
1224.0,2424.0,1200
1325.0,2465.0,1140
1123.0,2406.0,1283
1467.0,3715.0,2248
3298.0,4314.0,1016
2198.0,4383.0,2185
-7139.0,3428.0,10567
1586.0,3468.0,1882
23131.0,27014.0,3883
-231.0,2520.0,2751
1492.0,2600.0,1108
-2451.0,3205.0,5656
-12976.0,22126.0,35102
-13884.0,4799.0,18683
-4770.0,2985.0,7755
2090.0,4690.0,2600
-428.0,1118.0,1546
-241.0,1623.0,1864
-188.0,2198.0,2386
3577.0,6955.0,3378
1339.0,4226.0,2887
-2820.0,4828.0,7648
799.0,2614.0,1815
1293.0,2728.0,1435
2254.0,3808.0,1554
1283.0,3181.0,1898
-3576.0,2870.0,6446
1083.0,2525.0,1442
-687.0,2268.0,2955
2225.0,3405.0,1180
-4681.0,2677.0,7358
99945.0,128456.0,28511
2482.0,3529.0,1047
-3095.0,2934.0,6029
1007.0,2865.0,1858
-10908.0,3785.0,14693
1911.0,3129.0,1218
-3170.0,5288.0,8458
939.0,2654.0,1715
1248.0,2459.0,1211
1365.0,2377.0,1012
4468.0,5477.0,1009
-3122.0,2752.0,5874
-1595.0,11453.0,13048
1046.0,3318.0,2272
-30396.0,22452.0,52848
4550.0,6721.0,2171
54.0,2498.0,2444
783.0,3417.0,2634
2090.0,3249.0,1159
1683.0,4199.0,2516
-5583.0,4451.0,10034
2332.0,3724.0,1392
1848.0,3969.0,2121
2875.0,5387.0,2512
-9535.0,5186.0,14721
1804.0,11546.0,9742
5064.0,6610.0,1546
319.0,2140.0,1821
5907.0,11905.0,5998
7138.0,8378.0,1240
1110.0,6265.0,5155
44817.0,90369.0,45552
5069.0,6105.0,1036
2364.0,4570.0,2206
-53243.0,3914.0,57157
4221.0,5977.0,1756
-3868.0,1650.0,5518
3416.0,9149.0,5733
1766.0,3431.0,1665
2335.0,4087.0,1752
573.0,2349.0,1776
-731.0,2827.0,3558
1943.0,3100.0,1157
-4404.0,3337.0,7741
2052.0,3272.0,1220
1746.0,2827.0,1081
1598.0,2778.0,1180
-762.0,4924.0,5686
3542.0,6091.0,2549
3208.0,4213.0,1005
1475.0,2769.0,1294
525.0,1815.0,1290
177.0,1909.0,1732
4613.0,6145.0,1532
-309.0,2667.0,2976
3412.0,5045.0,1633
4547.0,6121.0,1574
-3125.0,2710.0,5835
752.0,3771.0,3019
-1661.0,6558.0,8219
-12974.0,3617.0,16591
113.0,5782.0,5669
158.0,2927.0,2769
104628.0,113981.0,9353
1946.0,3218.0,1272
2390.0,5924.0,3534
1150.0,2801.0,1651
63948.0,68749.0,4801
-1116.0,2762.0,3878
-910.0,1744.0,2654
6859.0,8092.0,1233
54507.0,86569.0,32062
769.0,2775.0,2006
1100.0,2684.0,1584
-123.0,2668.0,2791
943.0,2331.0,1388
-13473.0,257981.0,271454
-2658.0,2599.0,5257
-2655.0,8167.0,10822
1376.0,3403.0,2027
1573.0,2955.0,1382
945.0,2414.0,1469
644.0,2301.0,1657
240.0,3521.0,3281
-1248.0,2180.0,3428
1906.0,4284.0,2378
-502.0,3286.0,3788
6495.0,7591.0,1096
5157.0,12469.0,7312
-6162.0,3688.0,9850
1752.0,4113.0,2361
3691.0,5705.0,2014
2049.0,3143.0,1094
687.0,5270.0,4583
1853.0,2995.0,1142
1433.0,2841.0,1408
-6938.0,6007.0,12945
-12733.0,3557.0,16290
-21764.0,4935.0,26699
2670.0,4012.0,1342
-455.0,2589.0,3044
-2996.0,2310.0,5306
871.0,3561.0,2690
3033.0,4776.0,1743
86.0,4565.0,4479
1541.0,3008.0,1467
1997.0,3109.0,1112
-5401.0,2828.0,8229
5704.0,7019.0,1315
-9566.0,6282.0,15848
1373.0,2485.0,1112
1001.0,3877.0,2876
1109.0,3495.0,2386
-3421.0,2366.0,5787
4249.0,5312.0,1063
-568.0,4485.0,5053
1287.0,5323.0,4036
1105.0,3453.0,2348
2838.0,4382.0,1544
1632.0,3892.0,2260
2191.0,3645.0,1454
12660.0,13801.0,1141
-19221.0,4669.0,23890
2616.0,3786.0,1170
3344.0,4528.0,1184
1025.0,4473.0,3448
6980.0,11249.0,4269
1846.0,4767.0,2921
-1478.0,9253.0,10731
942.0,2565.0,1623
1501.0,4649.0,3148
12735.0,13761.0,1026
2496.0,3811.0,1315
-267.0,6629.0,6896
3006.0,5212.0,2206
15851.0,20003.0,4152
2663.0,4911.0,2248
1970.0,4821.0,2851
810.0,2985.0,2175
-143119.0,18904.0,162023
890.0,3747.0,2857
-666.0,2882.0,3548
-3139.0,2712.0,5851
-11919.0,3162.0,15081
1397.0,2796.0,1399
-133119.0,9568.0,142687
1026.0,3688.0,2662
5826.0,6962.0,1136
793.0,2309.0,1516
1908.0,2988.0,1080
6772.0,8060.0,1288
1703.0,2787.0,1084
2159.0,3359.0,1200
3219.0,4229.0,1010
1295.0,2920.0,1625
57190.0,60965.0,3775
2579.0,3677.0,1098
1054.0,4435.0,3381
3339.0,4356.0,1017
-21014.0,19856.0,40870
647.0,3650.0,3003
2018.0,3130.0,1112
680.0,2534.0,1854
-543.0,2720.0,3263
3875.0,5164.0,1289
1106.0,3556.0,2450
-4645.0,3239.0,7884
14287.0,16192.0,1905
4564.0,9429.0,4865
3239.0,11030.0,7791
1946.0,4924.0,2978
-59813.0,25585.0,85398
507.0,2356.0,1849
-14487.0,17648.0,32135
2710.0,5027.0,2317
-9000.0,55408.0,64408
3841.0,5031.0,1190
11833.0,18682.0,6849
1147.0,3106.0,1959
-1325.0,3966.0,5291
984.0,2389.0,1405
475.0,4726.0,4251
1528.0,3679.0,2151
5421.0,10086.0,4665
3130.0,4418.0,1288
2452.0,3695.0,1243
-223.0,2558.0,2781
1366.0,3984.0,2618
2437.0,4681.0,2244
-315.0,5083.0,5398
-535.0,3673.0,4208
-19034.0,3274.0,22308
2792.0,9754.0,6962
3914.0,5927.0,2013
6339.0,9908.0,3569
901.0,2601.0,1700
3418.0,5175.0,1757
2096.0,4556.0,2460
3480.0,5273.0,1793
476.0,2374.0,1898
2266.0,3622.0,1356
3700.0,5965.0,2265
3830.0,5221.0,1391
-619.0,4331.0,4950
-2583.0,5442.0,8025
1354.0,2746.0,1392
3584.0,4863.0,1279
-130042.0,203396.0,333438
2652.0,4257.0,1605
-1485.0,3309.0,4794
3271.0,5146.0,1875
-16197.0,4284.0,20481
1689.0,4384.0,2695
43876.0,47332.0,3456
1805.0,2814.0,1009
4386.0,5778.0,1392
-22594.0,368711.0,391305
-82659.0,22857.0,105516
2806.0,4763.0,1957
227.0,6669.0,6442
4833.0,6346.0,1513
2570.0,3762.0,1192
-356.0,5172.0,5528
2842.0,4071.0,1229
-1476.0,7514.0,8990
1122.0,2719.0,1597
-7398.0,8343.0,15741
37698.0,629208.0,591510
38781.0,42216.0,3435
5348.0,6356.0,1008
-126399.0,33041.0,159440
3411.0,4624.0,1213
-121209.0,19053.0,140262
3717.0,4774.0,1057
2121.0,4225.0,2104
-49729.0,6428.0,56157
912.0,2418.0,1506
1376.0,6107.0,4731
3334.0,5187.0,1853
-3038.0,5561.0,8599
-797.0,4491.0,5288
623.0,3361.0,2738
1332.0,2744.0,1412
2034.0,3921.0,1887
792.0,3308.0,2516
1075.0,2477.0,1402
-2059.0,4283.0,6342
-325.0,3743.0,4068
2186.0,3340.0,1154
-891.0,3269.0,4160
419.0,3000.0,2581
-173.0,2705.0,2878
356.0,2401.0,2045
1578.0,3967.0,2389
-2132.0,2994.0,5126
2954.0,4161.0,1207
1768.0,2914.0,1146
329.0,2413.0,2084
-5598.0,2570.0,8168
1051.0,3334.0,2283
-27500.0,3464.0,30964
0.0,2581.0,2581
-2331.0,2978.0,5309
1405.0,2429.0,1024
-1730.0,2589.0,4319
110.0,2710.0,2600
-3418.0,3015.0,6433
1259.0,2521.0,1262
-6532.0,2675.0,9207
-13530.0,2778.0,16308
-50201.0,3301.0,53502
-1679.0,2539.0,4218
-584.0,2416.0,3000
-898.0,2779.0,3677
-676.0,3192.0,3868
320.0,3627.0,3307
-150.0,2601.0,2751
-4340.0,3592.0,7932
822.0,2574.0,1752
-562.0,2813.0,3375
-6428.0,2842.0,9270
1255.0,2996.0,1741
-1758.0,-646.0,1112
542.0,3227.0,2685
423.0,3629.0,3206
3712.0,4802.0,1090
1911.0,3251.0,1340
1597.0,2974.0,1377
1309.0,2493.0,1184
1016.0,2768.0,1752
1672.0,2715.0,1043
-2064.0,15418.0,17482
-4297.0,2831.0,7128
-2987.0,3011.0,5998
1569.0,2750.0,1181
1621.0,2779.0,1158
2200.0,3506.0,1306
-687.0,2631.0,3318
1439.0,2723.0,1284
814.0,2631.0,1817
-2855.0,2641.0,5496
1017.0,2781.0,1764
1701.0,2865.0,1164
1913.0,2972.0,1059
-81.0,3589.0,3670
1298.0,2696.0,1398
-76.0,3108.0,3184
-22425.0,6045.0,28470
2058.0,3517.0,1459
1599.0,2719.0,1120
7706.0,8945.0,1239
1311.0,2431.0,1120
49633.0,91746.0,42113
2083.0,3274.0,1191
1329.0,3867.0,2538
98.0,3217.0,3119
3742.0,4857.0,1115
2825.0,4062.0,1237
1264.0,2693.0,1429
1625.0,2827.0,1202
10368.0,13215.0,2847
850.0,5467.0,4617
5816.0,7165.0,1349
54.0,4408.0,4354
1915.0,3703.0,1788
1589.0,3316.0,1727
1236.0,4506.0,3270
1782.0,3359.0,1577
2224.0,4260.0,2036
2743.0,3996.0,1253
3284.0,4524.0,1240
4426.0,5516.0,1090
1576.0,4856.0,3280
1891.0,3498.0,1607
-1098.0,7181.0,8279
5301.0,16026.0,10725
-755.0,3210.0,3965
3806.0,4897.0,1091
-1965.0,8949.0,10914
2651.0,4028.0,1377
642.0,3257.0,2615
184.0,2775.0,2591
-1815.0,3584.0,5399
21811.0,23689.0,1878
1804.0,2954.0,1150
11473.0,12568.0,1095
5994.0,9426.0,3432
3375.0,9580.0,6205
3453.0,4529.0,1076
19278.0,23270.0,3992
852.0,2612.0,1760
1861.0,3419.0,1558
1830.0,2914.0,1084
8418.0,9587.0,1169
1718.0,2792.0,1074
-11100.0,4420.0,15520
-488.0,3325.0,3813
723.0,2839.0,2116
1222.0,3557.0,2335
439.0,2480.0,2041
2496.0,7442.0,4946
-203.0,1482.0,1685
-139181.0,167220.0,306401
-2122.0,6491.0,8613
-3304.0,3172.0,6476
2146.0,3983.0,1837
-334.0,2089.0,2423
-2795.0,3380.0,6175
2651.0,4989.0,2338
1081.0,2866.0,1785
2397.0,3487.0,1090
-363.0,2825.0,3188
915.0,2968.0,2053
1240.0,2579.0,1339
-1842.0,2941.0,4783
1633.0,4498.0,2865
2176.0,4641.0,2465
3144.0,4318.0,1174
-399.0,1332.0,1731
-4032.0,6194.0,10226
1701.0,3065.0,1364
1338.0,13255.0,11917
-1091.0,3679.0,4770
3414.0,25521.0,22107
-645.0,3306.0,3951
1397.0,2838.0,1441
-3442.0,1163.0,4605
5892.0,23287.0,17395
1266.0,3187.0,1921
-50094.0,77941.0,128035
2470.0,3676.0,1206
1727.0,3842.0,2115
3673.0,4680.0,1007
4464.0,6549.0,2085
3119.0,4458.0,1339
-87721.0,4348.0,92069
-1551.0,4192.0,5743
1147.0,3828.0,2681
-7758.0,4495.0,12253
3627.0,5086.0,1459
1893.0,5079.0,3186
-17539.0,5490.0,23029
-749.0,4105.0,4854
2101.0,3424.0,1323
250.0,1395.0,1145
-839.0,3962.0,4801
-6526.0,3578.0,10104
1991.0,3479.0,1488
1916.0,3779.0,1863
-401.0,3174.0,3575
1154.0,2315.0,1161
3694.0,4773.0,1079
902.0,4103.0,3201
4734.0,9611.0,4877
2060.0,4501.0,2441
7642.0,9006.0,1364
163866.0,364623.0,200757
2696.0,3758.0,1062
-2709.0,2807.0,5516
1095.0,2733.0,1638
1894.0,3719.0,1825
1849.0,3134.0,1285
-95556.0,2417.0,97973
2381.0,5147.0,2766
4155.0,5510.0,1355
3043.0,5643.0,2600
3620.0,5639.0,2019
3670.0,5781.0,2111
-356.0,5855.0,6211
1381.0,2761.0,1380
4442.0,13190.0,8748
-6387.0,4179.0,10566
1366.0,4870.0,3504
-1989.0,3601.0,5590
-11383.0,7195.0,18578
-192.0,3126.0,3318
3153.0,5266.0,2113
3076.0,5242.0,2166
-3328.0,14070.0,17398
650.0,3710.0,3060
1497.0,5257.0,3760
3628.0,5776.0,2148
1635.0,2742.0,1107
5806.0,7141.0,1335
3742.0,5073.0,1331
15780.0,19826.0,4046
509.0,3667.0,3158
1559.0,4511.0,2952
52873.0,54406.0,1533
830.0,3490.0,2660
2060.0,3456.0,1396
570.0,3882.0,3312
516.0,2854.0,2338
1848.0,3285.0,1437
3996.0,5067.0,1071
3552.0,4841.0,1289
-23357.0,5125.0,28482
-16390.0,5691.0,22081
64256.0,67420.0,3164
3003.0,4043.0,1040
2809.0,4213.0,1404
4106.0,5305.0,1199
62.0,1612.0,1550
1860.0,2955.0,1095
2422.0,3467.0,1045
2349.0,4339.0,1990
-4518.0,4720.0,9238
-3082.0,4880.0,7962
-1289.0,3358.0,4647
15581.0,22041.0,6460
-24168.0,28009.0,52177
-1443.0,3291.0,4734
2271.0,3493.0,1222
1419.0,2736.0,1317
1906.0,3159.0,1253
1364.0,2894.0,1530
-3105.0,3521.0,6626
3127.0,4245.0,1118
3141.0,4984.0,1843
2693.0,3917.0,1224
3544.0,6360.0,2816
-4551.0,2420.0,6971
2341.0,4415.0,2074
1540.0,2575.0,1035
777.0,2773.0,1996
-4811.0,5052.0,9863
2134.0,3878.0,1744
2091.0,4072.0,1981
-14864.0,7293.0,22157
-1927.0,2702.0,4629
-10498.0,167453.0,177951
-1701.0,8804.0,10505
14374.0,22359.0,7985
442.0,3655.0,3213
2517.0,7015.0,4498
3136.0,4882.0,1746
1984.0,3289.0,1305
1529.0,3100.0,1571
1628.0,3592.0,1964
2509.0,3869.0,1360
-4568.0,5330.0,9898
1683.0,2977.0,1294
-62998.0,8100.0,71098
-23.0,4072.0,4095
-29128.0,4923.0,34051
2235.0,3761.0,1526
-117.0,2820.0,2937
25029.0,26131.0,1102
2275.0,3337.0,1062
1799.0,2872.0,1073
274.0,3246.0,2972
1284.0,2780.0,1496
3007.0,4447.0,1440
1839.0,3277.0,1438
1592.0,4527.0,2935
2203.0,3390.0,1187
1998.0,3024.0,1026
-275.0,4186.0,4461
-3683.0,5296.0,8979
1229.0,4333.0,3104
3078.0,4219.0,1141
-2370.0,3082.0,5452
2895.0,4296.0,1401
-2916.0,2903.0,5819
1902.0,3024.0,1122
3462.0,5253.0,1791
1365.0,2809.0,1444
-2048.0,3146.0,5194
658.0,2789.0,2131
-74298.0,10615.0,84913
3141.0,4297.0,1156
1686.0,2883.0,1197
-3527.0,3504.0,7031
9072.0,12545.0,3473
-226.0,2745.0,2971
-186182.0,17308.0,203490
3092.0,4709.0,1617
7065.0,8272.0,1207
1692.0,3406.0,1714
805.0,3864.0,3059
4961.0,6358.0,1397
3072.0,4157.0,1085
1972.0,5207.0,3235
3553.0,5361.0,1808
1249.0,3739.0,2490
1946.0,3059.0,1113
2303.0,4248.0,1945
7546.0,10200.0,2654
1673.0,2909.0,1236
5032.0,15394.0,10362
1106.0,3085.0,1979
3535.0,4765.0,1230
2107.0,3216.0,1109
841.0,4131.0,3290
-631.0,3398.0,4029
-8783.0,6020.0,14803
5666.0,6988.0,1322
3949.0,5360.0,1411
-9500.0,4587.0,14087
3410.0,4747.0,1337
-5274.0,3993.0,9267
2611.0,3883.0,1272
993.0,3483.0,2490
-15760.0,5747.0,21507
-79194.0,189556.0,268750
-10503.0,5399.0,15902
2866.0,4062.0,1196
-134.0,2500.0,2634
2263.0,3818.0,1555
-2426.0,3960.0,6386
-6170.0,2707.0,8877
-2096.0,3775.0,5871
652.0,3708.0,3056
-2578.0,2292.0,4870
2581.0,3785.0,1204
920.0,3237.0,2317
2644.0,4057.0,1413
6017.0,9779.0,3762
4257.0,9494.0,5237
1021.0,4176.0,3155
-39799.0,41388.0,81187
3094.0,4177.0,1083
791.0,2828.0,2037
1938.0,5652.0,3714
4603.0,5865.0,1262
1725.0,2762.0,1037
1623.0,4429.0,2806
3001.0,4154.0,1153
7142.0,10022.0,2880
370.0,4582.0,4212
5020.0,6585.0,1565
85.0,2934.0,2849
863.0,2753.0,1890
2356.0,3540.0,1184
-2151.0,3508.0,5659
-16833.0,3987.0,20820
1324.0,2840.0,1516
953.0,3093.0,2140
1393.0,2905.0,1512
1436.0,2750.0,1314
440.0,2984.0,2544
-1981.0,4424.0,6405
-289.0,2894.0,3183
-3430.0,3034.0,6464
-2204.0,10530.0,12734
1895.0,3052.0,1157
1580.0,3094.0,1514
-137537.0,6564.0,144101
1301.0,2477.0,1176
3176.0,4625.0,1449
3257.0,5123.0,1866
2854.0,4251.0,1397
4519.0,5820.0,1301
3096.0,6024.0,2928
10285.0,15687.0,5402
3423.0,5649.0,2226
1526.0,2933.0,1407
6171.0,8250.0,2079
4748.0,6498.0,1750
17400.0,19433.0,2033
416.0,2584.0,2168
-594.0,2953.0,3547
-1036.0,2643.0,3679
101946.0,112943.0,10997
-6189.0,2872.0,9061
1277.0,2696.0,1419
2980.0,6282.0,3302
-794.0,2620.0,3414
1503.0,2589.0,1086
57940.0,68565.0,10625
201.0,2858.0,2657
26043.0,52634.0,26591
24220.0,28795.0,4575
1697.0,3014.0,1317
1303.0,3412.0,2109
1865.0,3085.0,1220
-7424.0,3166.0,10590
4347.0,5544.0,1197
7841.0,9402.0,1561
3225.0,4414.0,1189
-18296.0,3060.0,21356
2124.0,3193.0,1069
2280.0,3894.0,1614
-5880.0,2785.0,8665
-1236.0,3225.0,4461
1817.0,2901.0,1084
1390.0,2475.0,1085
-165.0,2746.0,2911
9376.0,11469.0,2093
1636.0,3151.0,1515
1695.0,3006.0,1311
2182.0,3409.0,1227
-33451.0,3978.0,37429
1630.0,3146.0,1516
-1816.0,2893.0,4709
-4066.0,3200.0,7266
1870.0,3142.0,1272
-8446.0,5683.0,14129
-5112.0,3158.0,8270
1823.0,2973.0,1150
1486.0,2876.0,1390
2599.0,3645.0,1046
1538.0,2858.0,1320
34.0,2975.0,2941
-18667.0,3009.0,21676
-7870.0,4476.0,12346
-13034.0,4641.0,17675
2927.0,34052.0,31125
953.0,2536.0,1583
2360.0,3449.0,1089
-2146.0,4371.0,6517
776.0,2659.0,1883
-1510.0,3022.0,4532
-2925.0,5904.0,8829
