error_actual,y_test_pred,y_test
1579.0,4205.0,2626
2395.0,4277.0,1882
2717.0,3844.0,1127
1759.0,3615.0,1856
951.0,3975.0,3024
-7970.0,4218.0,12188
488.0,3719.0,3231
1947.0,3336.0,1389
1602.0,6126.0,4524
-33311.0,6369.0,39680
-2115.0,6369.0,8484
14326.0,22010.0,7684
11401.0,22618.0,11217
997.0,3582.0,2585
-46595.0,3246.0,49841
2998.0,4051.0,1053
2130.0,3745.0,1615
-1616.0,191.0,1807
-69635.0,7888.0,77523
4777.0,7673.0,2896
925.0,3603.0,2678
2345.0,3539.0,1194
-113.0,6369.0,6482
-98892.0,12806.0,111698
-848.0,6369.0,7217
122.0,2422.0,2300
4937.0,6369.0,1432
-22978.0,6358.0,29336
173.0,2791.0,2618
1358.0,3133.0,1775
-2756.0,6369.0,9125
-1581.0,1841.0,3422
-5590.0,2139.0,7729
-1806.0,4353.0,6159
718.0,3193.0,2475
3445.0,6369.0,2924
2334.0,3399.0,1065
3672.0,17844.0,14172
2598.0,3826.0,1228
21730.0,25447.0,3717
-113.0,2552.0,2665
-1127.0,3564.0,4691
5301.0,6369.0,1068
4557.0,6369.0,1812
5063.0,6369.0,1306
2644.0,3657.0,1013
2630.0,3748.0,1118
-39125.0,3742.0,42867
2330.0,6369.0,4039
68297.0,160060.0,91763
-10724.0,6369.0,17093
1574.0,3547.0,1973
-117.0,2957.0,3074
1443.0,2556.0,1113
-6033.0,3701.0,9734
-3455.0,3461.0,6916
1659.0,6369.0,4710
883.0,3867.0,2984
84933.0,92626.0,7693
1319.0,2638.0,1319
50336.0,213136.0,162800
2352.0,3377.0,1025
2107.0,3507.0,1400
617.0,13207.0,12590
2809.0,3828.0,1019
1980.0,3653.0,1673
2381.0,3441.0,1060
2291.0,4129.0,1838
2519.0,3604.0,1085
2817.0,6369.0,3552
19838.0,24608.0,4770
1891.0,3725.0,1834
1690.0,3152.0,1462
140.0,3236.0,3096
-3352.0,1854.0,5206
50888.0,102365.0,51477
-90.0,3671.0,3761
3831.0,5025.0,1194
1654.0,6369.0,4715
4527.0,6369.0,1842
4380.0,6369.0,1989
2261.0,3571.0,1310
3311.0,6277.0,2966
1873.0,4428.0,2555
1233.0,3673.0,2440
-295.0,3909.0,4204
5279.0,6862.0,1583
-435.0,2172.0,2607
39469.0,40878.0,1409
4464.0,6369.0,1905
1919.0,4207.0,2288
-1009.0,2135.0,3144
-1374.0,2674.0,4048
739.0,2722.0,1983
3406.0,5279.0,1873
2024.0,3690.0,1666
-15132.0,4847.0,19979
1340.0,2486.0,1146
-274.0,2811.0,3085
-1081.0,6369.0,7450
2622.0,4410.0,1788
-4927.0,4004.0,8931
4698.0,6369.0,1671
5409.0,8443.0,3034
2079.0,3194.0,1115
532.0,2122.0,1590
148.0,1703.0,1555
-299.0,2386.0,2685
701.0,1910.0,1209
4903.0,6369.0,1466
4735.0,6369.0,1634
-2333.0,3834.0,6167
576.0,1703.0,1127
-12697.0,3080.0,15777
-1656.0,2951.0,4607
1244.0,3647.0,2403
840.0,3409.0,2569
770.0,3719.0,2949
2275.0,3400.0,1125
1708.0,3223.0,1515
1704.0,3631.0,1927
2451.0,3466.0,1015
2439.0,3728.0,1289
-1204.0,4089.0,5293
2041.0,3269.0,1228
2383.0,3396.0,1013
-2896.0,2617.0,5513
-26494.0,3177.0,29671
1794.0,3141.0,1347
1854.0,3651.0,1797
-945.0,3180.0,4125
1186.0,3357.0,2171
2314.0,3620.0,1306
-1732.0,2263.0,3995
-1938.0,2372.0,4310
2333.0,3453.0,1120
2345.0,3535.0,1190
1482.0,3391.0,1909
511.0,6369.0,5858
469.0,1852.0,1383
740.0,2581.0,1841
789.0,1862.0,1073
-647.0,6369.0,7016
-255.0,1707.0,1962
2242.0,3368.0,1126
-1836.0,3299.0,5135
-3367.0,7992.0,11359
1352.0,3334.0,1982
2705.0,4301.0,1596
1295.0,2758.0,1463
1561.0,3027.0,1466
1025.0,2256.0,1231
1459.0,2749.0,1290
761.0,2063.0,1302
-18366.0,76270.0,94636
1141.0,2627.0,1486
590.0,2051.0,1461
-64502.0,30748.0,95250
-41784.0,3006.0,44790
885.0,2926.0,2041
-3638.0,7167.0,10805
1752.0,3712.0,1960
-5866.0,4864.0,10730
-9935.0,3592.0,13527
724.0,2964.0,2240
-5881.0,1739.0,7620
-765.0,1867.0,2632
692.0,2154.0,1462
-26.0,1929.0,1955
-949.0,2044.0,2993
519.0,2005.0,1486
1113.0,4111.0,2998
-2610.0,2738.0,5348
49665.0,57824.0,8159
1520.0,3370.0,1850
-9536.0,4058.0,13594
-1652.0,3260.0,4912
1022.0,3098.0,2076
13685.0,16812.0,3127
324.0,2354.0,2030
721.0,3432.0,2711
-421106.0,487714.0,908820
-56.0,3309.0,3365
355.0,1824.0,1469
745.0,2039.0,1294
-8794.0,3202.0,11996
-123.0,3349.0,3472
1072.0,3658.0,2586
-66.0,3691.0,3757
-46860.0,4348.0,51208
4692.0,6369.0,1677
637.0,2869.0,2232
1653.0,3902.0,2249
1811.0,3191.0,1380
-1248.0,2430.0,3678
-165.0,3637.0,3802
1402.0,2691.0,1289
2887.0,3931.0,1044
-4843.0,6426.0,11269
2445.0,3449.0,1004
2421.0,3704.0,1283
-2697.0,3222.0,5919
1489.0,2931.0,1442
17408.0,20445.0,3037
1893.0,3226.0,1333
1384.0,3324.0,1940
4819.0,6369.0,1550
-838.0,2385.0,3223
-21719.0,6369.0,28088
1423.0,2886.0,1463
5286.0,6369.0,1083
1868.0,2889.0,1021
1398.0,2976.0,1578
1257.0,3022.0,1765
750.0,1805.0,1055
-3975.0,3722.0,7697
316.0,1850.0,1534
997.0,3403.0,2406
-11741.0,3670.0,15411
-9657.0,6369.0,16026
695.0,2102.0,1407
-30876.0,4920.0,35796
499.0,4822.0,4323
-8789.0,6908.0,15697
-6216.0,2149.0,8365
458.0,2096.0,1638
2127.0,3205.0,1078
1508.0,2978.0,1470
1141.0,2405.0,1264
170.0,3007.0,2837
1913.0,3434.0,1521
2552.0,3715.0,1163
2382.0,3687.0,1305
190.0,3529.0,3339
1869.0,3115.0,1246
551.0,7076.0,6525
1467.0,3367.0,1900
1163.0,3385.0,2222
875.0,2694.0,1819
1334.0,2721.0,1387
1223.0,3457.0,2234
1684.0,3505.0,1821
746.0,1799.0,1053
25373.0,28638.0,3265
-280.0,2199.0,2479
-14919.0,6369.0,21288
2226.0,6369.0,4143
-2840.0,3557.0,6397
414.0,2405.0,1991
729.0,1931.0,1202
-1300.0,1879.0,3179
528.0,2743.0,2215
1566.0,3435.0,1869
1670.0,3431.0,1761
2098.0,3317.0,1219
3280.0,4384.0,1104
-2472.0,14261.0,16733
22732.0,35154.0,12422
3161.0,4830.0,1669
-9701.0,3460.0,13161
-19280.0,2859.0,22139
905.0,3021.0,2116
1237.0,3112.0,1875
-10207.0,4377.0,14584
1674.0,5961.0,4287
-335.0,3080.0,3415
1746.0,2804.0,1058
-1432.0,3234.0,4666
1959.0,3007.0,1048
2381.0,3417.0,1036
-393.0,633.0,1026
1157.0,2256.0,1099
2135.0,3480.0,1345
2824.0,4381.0,1557
18532.0,33826.0,15294
833.0,2379.0,1546
2977.0,4042.0,1065
5210.0,6369.0,1159
4937.0,6369.0,1432
3788.0,6954.0,3166
8276.0,10407.0,2131
915.0,3846.0,2931
620.0,2583.0,1963
1191.0,3013.0,1822
-254.0,1706.0,1960
-807.0,3993.0,4800
151.0,1709.0,1558
-240.0,1835.0,2075
534.0,2790.0,2256
22074.0,67985.0,45911
714.0,2968.0,2254
1798.0,2892.0,1094
-786.0,3376.0,4162
-399.0,2415.0,2814
2187.0,3288.0,1101
2452.0,4256.0,1804
1378.0,2409.0,1031
-11535.0,4093.0,15628
-4712.0,3868.0,8580
117765.0,123592.0,5827
7591.0,8936.0,1345
1370.0,3771.0,2401
-677.0,2238.0,2915
-2132.0,1848.0,3980
1838.0,3462.0,1624
22901.0,56092.0,33191
-36908.0,344852.0,381760
1456.0,3586.0,2130
-4716.0,8763.0,13479
-329.0,2348.0,2677
580.0,1780.0,1200
816.0,1956.0,1140
1742.0,3025.0,1283
215.0,2463.0,2248
2708.0,3724.0,1016
954.0,3139.0,2185
-7792.0,2775.0,10567
1443.0,3325.0,1882
-461.0,3422.0,3883
-568.0,2183.0,2751
1192.0,2300.0,1108
-2112.0,3544.0,5656
-8275.0,26827.0,35102
-2227.0,16456.0,18683
-4750.0,3005.0,7755
130.0,2730.0,2600
1887.0,3433.0,1546
307.0,2171.0,1864
953.0,3339.0,2386
6592.0,9970.0,3378
910.0,3797.0,2887
-2113.0,5535.0,7648
38.0,1853.0,1815
708.0,2143.0,1435
1141.0,2695.0,1554
4471.0,6369.0,1898
-3078.0,3368.0,6446
