error,Model
129.2965087890625,DNN-2
-645.2388916015625,DNN-2
-1456.7432861328125,DNN-2
-26387.27978515625,DNN-2
-559.2255859375,DNN-2
312.2607421875,DNN-2
-1133.4136962890625,DNN-2
-1676.36181640625,DNN-2
513.5347900390625,DNN-2
-27345.666625976562,DNN-2
-8084.734619140625,DNN-2
-554.22412109375,DNN-2
-92396.560546875,DNN-2
-357.715087890625,DNN-2
-41473.46325683594,DNN-2
-4519.7940673828125,DNN-2
90.92333984375,DNN-2
1091.5888671875,DNN-2
-897.1123046875,DNN-2
-74951.1923828125,DNN-2
553.73095703125,DNN-2
316.3594970703125,DNN-2
47.522705078125,DNN-2
-1519.1005859375,DNN-2
-176120.7890625,DNN-2
-1444.1871337890625,DNN-2
24421.0234375,DNN-2
1964.29443359375,DNN-2
3053.349609375,DNN-2
-462.7401123046875,DNN-2
64.750732421875,DNN-2
11069.2080078125,DNN-2
362.308349609375,DNN-2
923.1236572265625,DNN-2
-85.011962890625,DNN-2
643.426025390625,DNN-2
-937.2581787109375,DNN-2
-2218.4305419921875,DNN-2
4360.966796875,DNN-2
-1464.78857421875,DNN-2
622.6754150390625,DNN-2
1341.32470703125,DNN-2
22121.064453125,DNN-2
-1723.49267578125,DNN-2
359.44873046875,DNN-2
13840.076171875,DNN-2
-988.723876953125,DNN-2
473.485107421875,DNN-2
-624.6031494140625,DNN-2
1510.31005859375,DNN-2
-60.7325439453125,DNN-2
1004.259765625,DNN-2
356.6710205078125,DNN-2
55.9755859375,DNN-2
3441.4853515625,DNN-2
781.93310546875,DNN-2
643.775146484375,DNN-2
600.557373046875,DNN-2
-249.3470458984375,DNN-2
-1434.9102783203125,DNN-2
434.6099853515625,DNN-2
-10986.505615234375,DNN-2
356.830322265625,DNN-2
214.9185791015625,DNN-2
41.280029296875,DNN-2
325.309326171875,DNN-2
-491.341064453125,DNN-2
-276.01220703125,DNN-2
-3672.66259765625,DNN-2
1873.79248046875,DNN-2
429.9305419921875,DNN-2
-25301.476806640625,DNN-2
531.7950439453125,DNN-2
353.945556640625,DNN-2
679.381591796875,DNN-2
506.5089111328125,DNN-2
